Date,WBA,LEG,BEN,SWK,XOM,CVX,BKH,NFG,CAT,TGT,ITW,EMR,APD,PG,JNJ,ATO,GPC,GD,AOS,HRL,LOW,PPG,PH,ABM,ADM,ABT,CWT,ADP,TNC,DOV
2011-05-16,45.11999893,26.04999924,42.3133316,73.62999725,80.23999786,101.6500015,30.85000038,69.30999756,106.0899963,50.34000015,57.40999985,53.18000031,84.06105804,66.94000244,66.37000275,33.65000153,55.24000168,74.23999786,10.13500023,14.79500008,24.84000015,44.31000137,87.69999695,23.69000053,32.00999832,25.90920067,18.23500061,47.04126358,38.25,42.59983063
2011-05-17,44.29999924,26.10000038,42.02999878,73.30999756,80.41000366,100.4100037,30.79999924,68.26000214,102.0800018,50.77999878,56.97999954,52.81999969,82.80296326,67.41999817,66.40000153,33.36999893,54.97000122,73.5,10.15499973,14.90999985,24.75,43.70999908,85.25,23.59000015,31.80999947,25.66930008,18.34499931,47.12906265,37.68000031,42.03004456
2011-05-18,44.18999863,26.20000076,42.36000061,75.36000061,81.73999786,102.8600006,30.70000076,68.86000061,105.25,49.95999908,57.75,54.06999969,84.56059265,67.37999725,66.5,33.56000137,55.38000107,74,10.19750023,15.04500008,25.04999924,44.54000092,87.05000305,23.75,31.76000023,25.82283592,18.55999947,47.62071991,38.77999878,42.70708466
2011-05-19,44.22999954,26.35000038,42.34999847,75.83999634,82.33000183,103.8700027,30.79000092,68.59999847,105.3000031,50.29000092,57.65000153,54.61000061,85.1156311,67.45999908,66.38999939,33.84000015,55.25999832,73.87999725,10.20499992,15.13000011,24.78000069,44.46500015,87.80000305,23.64999962,31.48999977,25.6309166,18.58499908,47.62950134,38.81000137,43.20313263
2011-05-20,44.36999893,25.79000092,41.94333267,75.37000275,81.56999969,102.5699997,30.70000076,69.05999756,104.3300018,49.68999863,57.09000015,54.09000015,84.43108368,67.36000061,65.69000244,33.83000183,54.41999817,73.02999878,10.03999996,15.03999996,24.45999908,44.02500153,86.44000244,23.29999924,31.26000023,25.67409706,18.63500023,47.55926132,39.15000153,42.55960846
2011-05-23,44.5,25.47999954,41.13666534,73.41000366,80.66999817,101.3700027,30.20000076,67.98000336,101.8899994,49.50999832,56.54000092,53.90000153,83.83903503,67.05000305,65.55999756,33.08000183,53.90000153,71.38999939,9.875,15.02499962,24.37999916,43.33000183,84.91999817,22.95999908,30.96999931,25.54935074,18.45999908,46.90079117,37.25,42.06356049
2011-05-24,44.29000092,25.42000008,41.11999893,71.66999817,81.29000092,102.2699966,30.17000008,68.84999847,101.5500031,49.24000168,56.50999832,53.34999847,84.22756958,67.01000214,65.77999878,32.90000153,53.86999893,70.94999695,9.789999962,15.01000023,24.14999962,42.96500015,85.80000305,22.69000053,30.95999908,25.58773422,18.375,46.74275589,36.86999893,41.73509598
2011-05-25,44.13999939,25.39999962,41.25999832,72.11000061,81.95999908,103.25,30.44000053,70.09999847,103.25,49.36000061,57.04000092,53.88999939,85.49491119,66.37999725,66.29000092,32.93000031,53.56999969,70.52999878,9.800000191,14.29500008,24.34000015,43.66500092,87.73000336,22.54999924,31.03000069,25.41500664,18.51000023,46.82177353,37.90999985,42.70037842
2011-05-26,43.70000076,25.55999947,41.71333313,73.97000122,82.38999939,103.3600006,30.48999977,69.90000153,104.1900024,49.40999985,56.99000168,54.04000092,85.80018616,66.19000244,65.51000214,32.99000168,53.68999863,70.19999695,10.04249954,14.47500038,24.30999947,43.54999924,88.01000214,22.60000038,31.34000015,25.01677132,18.62000084,47.08516312,37.40000153,43.03554916
2011-05-27,43.70999908,25.59000015,42.25333405,73.37000275,82.62999725,103.2099991,30.65999985,70.75,104.5999985,49.36999893,57.04000092,54.11999893,86.91951752,66.19999695,66.76999664,33.09000015,53.86000061,71.26000214,10.02250004,14.51500034,24.25,43.90000153,89.37999725,22.48999977,32.20999908,24.73369026,18.68499947,47.52414322,37.86000061,44.11478806
2011-05-31,43.63000107,25.82999992,43.19333267,73.87999725,83.47000122,104.9100037,31.02000046,72.04000092,105.8000031,49.52999878,57.31999969,54.54999924,87.96484375,67,67.29000092,33.34999847,54.79999924,74.22000122,10.36750031,14.66499996,24.13999939,44.34999847,88.84999847,22.78000069,32.40999985,25.06954956,18.92000008,48.38454819,38.63000107,45.06666565
2011-06-01,43.31999969,25.12999916,41.68999863,70.44999695,82.02999878,102.4899979,30.45999908,69.16000366,101.2399979,48.56000137,56.25999832,52.18000031,85.19889069,66.40000153,66.48000336,32.90000153,52.65999985,71.80000305,10.00500011,14.64500046,23.71999931,43.38000107,85.62999725,22.45000076,31.11000061,24.91121674,18.57500076,47.77875137,36.54999924,42.74060059
2011-06-02,43.22000122,24.89999962,41.79333115,70.80000305,81.33000183,101.1200027,30.25,68.18000031,102.1900024,47.95000076,56.49000168,51.86000061,84.98612213,66.01000214,66.48000336,32.5,52.25,71.41999817,10.06000042,14.43999958,23.59000015,43.08499908,86.90000153,22.60000038,30.69000053,24.58975029,18.40999985,47.64706039,36.65000153,42.55290604
2011-06-03,43.15000153,24.27000046,41.3666687,68.93000031,81.18000031,101,29.81999969,68.83000183,101.0999985,47.40000153,56.08000183,51.22000122,82.91397095,65.43000031,66.08999634,31.90999985,51.66999817,70.59999847,9.850000381,14.17500019,23.39999962,42.46500015,86.29000092,22.14999962,30.38999939,24.50818443,18.13500023,46.77787399,35.74000168,41.86916351
2011-06-06,42.93999863,23.93000031,40.65000153,68.59999847,80.29000092,99.68000031,29.47999954,67.36000061,99.86000061,47.36000061,55.77000046,51.34999847,82.89546967,65.5,66.05000305,31.78000069,51.52000046,70.69999695,9.949999809,14.22000027,22.87000084,42.04999924,87.16000366,22.25,30.26000023,24.47939682,18.06999969,46.66373825,35.06000137,41.68146896
2011-06-07,42.93000031,23.80999947,40.82333374,69.65000153,80,99.47000122,29.39999962,67.66000366,99.87999725,47.06000137,55.70999908,51.43999863,83.81128693,65.05999756,65.5,31.73999977,51.09000015,70.66000366,9.925000191,14.19999981,22.98999977,42.84000015,86.84999847,22.40999985,30.12999916,24.6521244,18.07500076,46.52326584,35.22999954,41.8155365
2011-06-08,43.18000031,23.79999924,40.76333237,68.48000336,80.76000214,99.94999695,29.28000069,67.91999817,98.04000092,46.86000061,55.13999939,51.43000031,83.99629974,64.84999847,66.13999939,31.86000061,50.5,70.40000153,9.880000114,14.42500019,22.71999931,42.22499847,86.58000183,22.09000015,29.75,24.72409439,18.02499962,46.06672668,35.45000076,41.63454437
2011-06-09,43.59999847,23.98999977,41.1566658,68.86000061,81.18000031,101.2300034,28.20999908,67.23000336,99.26000214,47.15999985,55.34000015,51.68999863,85.70767975,65.01000214,66.77999878,31.71999931,50.77000046,70.48999786,9.927499771,14.40499973,22.77000046,42.63000107,87.80000305,22.31999969,30.09000015,24.72409439,17.89999962,46.28621674,35.81999969,41.76190948
2011-06-10,42.97000122,23.28000069,40.6333313,67.13999939,79.77999878,99.66999817,29.15999985,67.16000366,96.79000092,46.70000076,54.63999939,51.36999893,84.33857727,64.69999695,66.08999634,31.57999992,49.81999969,69.37000275,9.777500153,14.19999981,22.26000023,42.05500031,85.83000183,21.96999931,29.54000092,24.42181969,17.79500008,45.6014061,34.25,40.77651596
2011-06-13,43.5,23.13999939,40.90000153,66.72000122,79.23000336,98.93000031,29.32999992,67.22000122,95.44000244,46.43000031,54.54999924,51.20999908,85.41165924,64.76999664,66.58999634,31.45000076,50.04000092,69.63999939,9.760000229,14.27499962,22.04999924,41.91999817,86.52999878,21.80999947,29.79999924,24.66172028,17.90999985,46.22475815,33.50999832,40.83014297
2011-06-14,44.09999847,23.63999939,42.00333405,68.69000244,80.37999725,100.5999985,29.89999962,68.06999969,97.86000061,47.29000092,55.54999924,52.65999985,86.27197266,64.76000214,67.09999847,31.65999985,50.97999954,70.44000244,10.01500034,14.46000004,22.71999931,42.75,88.76999664,22.40999985,30.29000092,24.60894203,18.09000015,46.25109863,34.43999863,42.03674698
2011-06-15,43.79000092,23.19000053,40.94333267,67.73000336,78.66000366,98.41000366,29.70999908,67.63999939,95.65000153,46.70999908,54.29999924,51.88000107,84.08880615,63.75999832,66.16000366,31.34000015,50.5,70.84999847,9.765000343,14.23999977,22.11000061,41.98500061,86.43000031,22.17000008,29.57999992,24.6185379,17.89999962,45.35557556,35.22999954,41.21893692
2011-06-16,44.38000107,23.20999908,41.20000076,68.22000122,79.22000122,99.43000031,30.14999962,68.93000031,95.45999908,46.45000076,54.63999939,52.5,83.65402222,64.26000214,66.31999969,31.5,50.75999832,71.27999878,9.805000305,14.44999981,22.68000031,42.05500031,86.15000153,22.17000008,29.52000046,24.6185379,18.07999992,45.48727036,37.29000092,41.73509598
2011-06-17,44.66999817,23.45999908,41.45999908,68.29000092,79.01999664,99.16999817,30.11000061,69.87000275,95.94999695,46.52999878,54.93000031,52.06000137,83.29324341,64.69000244,66.29000092,31.90999985,51.24000168,71.66999817,10.01000023,14.47999954,22.82999992,42.375,85.31999969,22.62000084,30.17000008,24.79606438,18.13999939,45.36435318,38.18999863,41.76190948
2011-06-20,45.18000031,23.63999939,41.43999863,68.83000183,79.70999908,99.91000366,30.34000015,69.01999664,98.18000031,47.24000168,54.61999893,52.83000183,84.3478241,65.08999634,66.51000214,32.16999817,51.79000092,72.76999664,10.125,14.56499958,23.11000061,42.71500015,85.29000092,23.04000092,30.44000053,24.95919609,18.30999947,46.0052681,38.06000137,42.31158447
2011-06-21,43.27999878,23.70999908,42.11000061,69.94000244,80.56999969,101.5899963,30.30999947,70.80999756,101.3899994,47.68000031,55.54000092,53.91999817,85.56891632,64.22000122,66.48999786,32.31000137,52.47999954,73.40000153,10.26249981,14.75,23.68000031,43.86500168,86.12999725,22.93000031,30.56999969,25.07434845,18.37000084,46.26865768,39.09000015,43.20983505
2011-06-22,42.65000153,23.27000046,41.61333466,69.62999725,79.81999969,101.0699997,30.29999924,70.51999664,100.1500015,46.81999969,55.43999863,53.40000153,86.00370026,64.05999756,66.06999969,32.29000092,52.15000153,73.36000061,10.19250011,14.71000004,23.19000053,43.86999893,86.54000092,23.27000046,30.29999924,24.9879837,17.96999931,45.97892761,38.84999847,43.29027557
2011-06-23,42.59000015,23.25,41.37333298,71.05999756,78.44000244,99.36000061,30.19000053,70.11000061,100.5500031,47.63000107,54.88000107,53.93999863,86.01295471,63.45999908,65.66999817,32.25999832,52.52000046,72.90000153,10.27499962,14.57499981,23.70999908,43.50500107,86.05999756,23.05999947,29.51000023,24.91121674,18.20999908,45.58384323,38.75,43.47797012
2011-06-24,41.38999939,22.87999916,41.04666519,69.27999878,76.77999878,97.90000153,29.92000008,69.95999908,100.0100021,46.33000183,54.34999847,53.56999969,86.02220154,62.59000015,65.05999756,32.29999924,52.20000076,72.29000092,10.20499992,14.56499958,23.25,43.58000183,85.04000092,22.85000038,29.29999924,24.82965088,18.23999977,44.96927261,38.27999878,42.66686249
2011-06-27,41.72000122,23.12999916,41.72999954,69.5,77.91999817,98.90000153,29.98999977,69.90000153,100.8000031,46.45999908,54.75,53.86999893,86.04070282,62.81999969,65.25,32.34999847,52.84000015,73.26000214,10.23250008,14.64500046,23.14999962,43.47999954,85.73000336,23.01000023,29.62000084,24.90162086,18.32999992,45.32045746,39.09999847,43.24335098
2011-06-28,41.59000015,23.42000008,42.22000122,69.58999634,79.62999725,100.3499985,30.29999924,71.93000031,103.8399963,46.68999863,54.99000168,54.77999878,87.73358154,62.72000122,65.91000366,32.61000061,53.68999863,73.73999786,10.29249954,14.74499989,23.46999931,44.22999954,86.88999939,23.15999985,29.60000038,25.06954956,18.46999931,45.73310089,39.59000015,44.41643906
2011-06-29,41.75999832,23.97999954,43.0933342,70.25,80.25,101.2799988,30.31999969,72.69000244,103.3600006,46.49000168,55.18000031,54.93000031,87.03977966,62.54999924,66.30999756,33.09999847,53.84999847,73.90000153,10.39999962,14.86499977,23.37999916,44.56999969,86.91999817,23.45999908,30.30999947,25.02636719,18.60000038,46.11940384,39.09000015,44.48347473
2011-06-30,42.45999908,24.37999916,43.76333237,72.05000305,81.37999725,102.8399963,30.09000015,72.80000305,106.4599991,46.90999985,56.49000168,56.25,88.41812897,63.56999969,66.51999664,33.25,54.40000153,74.51999664,10.57499981,14.90499973,23.30999947,45.39500046,89.73999786,23.34000015,30.14999962,25.24707603,18.70999908,46.25109863,39.93000031,45.44875717
